Reasons for order stuck,Classification of problems
Provincial resource OTN convergence equipment callback relay link is empty ,Reasons for the provincial system 
Mandatory order ,Other reasons (void/other)
"Multiple sets of data are configured during manual processing in the province, and the return order cannot be completed. ",Other reasons (void/other)
Provincial resource OTN convergence equipment callback relay link is empty ,Reasons for the provincial system 
Mandatory order ,Other reasons (void/other)
"The relevant interface address of OTN access is not provided when placing the order, and the order cannot be dispatched. At present, the rollback of the service design has been carried out, which is not in this link. ",To be determined (other reasons) (write notes) 
Mandatory order ,Other reasons (void/other)
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
OTN-CN2 three-layer VPN access RFS_resource configuration_link no return order ,Reasons for the provincial system 
The local network could not open business at that time. ,To be determined (other reasons) (write notes) 
The relay link information configured in the province is inconsistent with that of the group. ,Reasons for the provincial system 
This work order has not been found in the province. ,Other reasons (void/other)
"At present, the provincial control test environment can only be manually confirmed and returned. At present, the order has been returned. ",Reasons for the provincial system 
"Due to the lack of nodes in downstream feedback, the group's arrangement increases the verification and the increase of verification.",Reasons for the provincial system 
"Provincial resource OTN aggregation equipment resource configuration return exception: 'In the cloud private network 3.0 IPRAN, 5G, OTN multi-A scenario, the associated product instance id is empty, the data is incomplete and the resource allocation cannot be carried out, and the configuration fails!' ",Reasons for the provincial system 
OTN Ethernet link RFS_resource configuration_link no return ,Other reasons (void/other)
Provincial resources OTN aggregation equipment resource allocation has not been returned ,Other reasons (void/other)
OTN Ethernet link RFS_resource configuration_link no return ,Other reasons (void/other)
Provincial resources OTN aggregation equipment resource allocation has not been returned ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
"Archived, no abnormality ",To be determined (other reasons) (write notes) 
The relay link information configured in the province is inconsistent with that of the group. ,Reasons for the provincial system 
"The new installation of the order in the province has not been archived, and the disassembly process will be carried out.",Reasons for the group system 
The problem of placing an order ,Other reasons (void/other)
"There is no configured port in the test environment in the province, and the resources cannot be configured. ",Other reasons (void/other)
Test order ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
Test order ,Other reasons (void/other)
Ordering problems in the group's province ,Other reasons (void/other)
Local network arrangement has not been transmitted to CE_COUNTRY district and county fields ,Reasons for the group system 
"The address was not provided when placing the order, and the address was signed and configured. The order cannot be dispatched. At present, the configuration has been completed.",Reasons for the provincial system 
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
Mandatory order ,Other reasons (void/other)
Provincial resources OTN aggregation equipment resource allocation has not been returned ,Reasons for the provincial system 
Mandatory order ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
Manual receipt for provincial comprehensive adjustment ,Other reasons (void/other)
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Other reasons (void/other)
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem is re-adjusted and sent to provincial resources. The provincial resource callback is abnormal, and the circuit information cannot be found according to the circuit code. ",Other reasons (void/other)
The problem of placing an order ,To be determined (other reasons) (write notes) 
"At present, the provincial control test environment can only be manually confirmed and returned. At present, the order has been returned. ",Reasons for the provincial system 
"The previous PON transfer test order was not complete due to the incomplete test process, and the waste order was stopped at the front desk. ",Reasons for the design center plan 
This is the value issued by the group CRM. ,Reasons for the group system 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem is re-adjusted and sent to provincial resources. The provincial resource callback is abnormal, and the circuit information cannot be found according to the circuit code. ",Other reasons (void/other)
"It is necessary to verify the consistency of link information controller, resources and control information in the province, and unify the data link information in the early stage. ",Reasons for the provincial system 
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
Provincial resources OTN aggregation equipment resource allocation has not been returned ,Reasons for the provincial system 
Mandatory order ,Other reasons (void/other)
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
"The address was not provided when placing the order, and the address was signed and configured. The order cannot be dispatched. At present, the configuration has been completed.",Reasons for the provincial system 
Mandatory order ,Other reasons (void/other)
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
Mandatory order ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
Research institute program problems ,Reasons for the design center plan 
CRM does not issue fields ,Reasons for the group system 
"Callback arrangement, waiting for the follow-up process, arrangement has not called the follow-up process groupThe group's arrangement problem has been re-adjusted, the order has been passed, the code has been updated, and the service has been restarted. ",Other reasons (void/other)
"At present, the provincial control test environment can only be manually confirmed and returned. At present, the order has been returned. ",Reasons for the provincial system 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem has been re-adjusted, and the order has been passed. ",Other reasons (void/other)
Provincial resources OTN aggregation equipment resource allocation has not been returned ,Reasons for the provincial system 
Reserve for resource-free construction and mining process development and testing,To be determined (other reasons) (write notes) 
Provincial resources OTN aggregation equipment resource allocation has not been returned ,Reasons for the provincial system 
Mandatory order ,Other reasons (void/other)
"Test environmental data problems, unable to allocate data ",Other reasons (void/other)
"The resources have been successfully returned, and the group arrangement is called again? ",Other reasons (void/other)
Stop opening the non-re-order. ,Reasons for the provincial system 
Metropolitan Area Network-CN2 three-layer VPN access RFS_disassembly_api no receipt,Reasons for the provincial system 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem has been re-adjusted. At present, this link has been ordered. ",Other reasons (void/other)
It has stopped. ,Other reasons (void/other)
"Test environmental data problems, unable to allocate data ",Other reasons (void/other)
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem has been re-adjusted and sent to provincial resources. The abnormal resNetAsbr node of the provincial resource order is empty.PW RFS is not completed. This link is distributed in advance when the group arranges and reissues it. According to the dependency rules, the dependency should not be removed in advance at this time. Provincial resources cannot process the ASBR configuration at the same time in order to complete the PW resource configuration. ",Reasons for the provincial system 
"At present, ONT has no automatic configuration and is already under development. ",Other reasons (void/other)
Test waste order ,Reasons for the provincial system 
Misoperation in the province leads to repeated links. ,Other reasons (void/other)
Provincial resource network ASBR equipment timeout ,Reasons for the provincial system 
The ipv4 address is empty. ,Reasons for the provincial system 
"Stop the scene, the plan is being formulated. ",Other reasons (void/other)
OTN Ethernet Link RFS_No return for on-site construction ,Reasons for the provincial system 
Mandatory order ,Other reasons (void/other)
"The process problem should pass the A8-C IP change process. At present, it has not flowed in accordance with the IP change process, and it has been in the cloud-effective bill of lading. ",Reasons for the design center plan 
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
"No one took the order in the test environment, and now the order is returned. ",Reasons for the provincial system 
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Other reasons (void/other)
Provincial arrangement without reply ,Other reasons (void/other)
The ipran test sheet has been completed. ,Reasons for the provincial system 
The ipranAAA test list has been abandoned at present.,Other reasons (void/other)
Test list,Reasons for the provincial system 
The ipran test sheet has been completed. ,Reasons for the provincial system 
The otn test sheet has been completed. ,Reasons for the provincial system 
"Successful callback arrangement, no abnormality ",Other reasons (void/other)
"The data has not been found in the resource production of the relay group of the provincial resource OTN aggregation equipment configuration, and the provincial resources need to check whether the relay has been completed. ",Other reasons (void/other)
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api The group's arrangement problem has been re-adjusted and sent to the province, waiting for the provincial resource callback. ",Reasons for the provincial system 
In the waiting process of dependence ,Collaborative dependence 
In the waiting process of dependence ,Other reasons (void/other)
In the waiting process of dependence ,Other reasons (void/other)
In the waiting process of dependence ,Other reasons (void/other)
In the waiting process of dependence ,Other reasons (void/other)
Waiting for provincial resources OTN aggregation equipment configuration callback ,Reasons for the provincial system 
Misoperation in the province leads to repeated links. ,Other reasons (void/other)
Misoperation in the province leads to repeated links. ,Other reasons (void/other)
Misoperation in the province leads to repeated links. ,Other reasons (void/other)
Program issues ,Reasons for the design center plan 
The receipt has been returned ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
In the waiting process of dependence ,Reasons for the group system 
It has stopped. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
Test list for January ,Other reasons (void/other)
Test list for February ,Other reasons (void/other)
"Resource parameter problem, AZ-side resource feedback format verification does not pass ",Reasons for the provincial system 
"After the successful provincial resource callback, it will be arranged. ",To be determined (other reasons) (write notes) 
The scene has been stopped. ,Other reasons (void/other)
"Stop the scene, the plan is being formulated. ",Other reasons (void/other)
Program issues ,Reasons for the design center plan 
Program issues ,Reasons for the design center plan 
Mandatory order ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
"OTN test sheet, discarded ",Other reasons (void/other)
The ipran supplementary test sheet is currently being tested. ,Reasons for the provincial system 
Test list,Reasons for the provincial system 
It has stopped opening now. ,To be determined (other reasons) (write notes) 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api ,Other reasons (void/other)
Program issues ,Reasons for the design center plan 
Program issues ,Reasons for the design center plan 
Program issues ,Reasons for the design center plan 
Mandatory order ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
It has been archived. Now the resource can't find this list. Did you do something else? ,Reasons for the provincial system 
Repeated callbacks of provincial resources lead to abnormal allocation ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
"The interface call problem is not available; the comprehensive call reuses the return interface, but the message verification does not pass, contact the group for arrangement assistance.",Reasons for the provincial system 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Other reasons (void/other)
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Other reasons (void/other)
"Test sheet, manual link ",Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The reply is wrong. ,Reasons for the provincial system 
Mandatory order ,Other reasons (void/other)
The reply is wrong. ,Reasons for the provincial system 
Recurring distribution service design in the province ,Other reasons (void/other)
"Accept the problem, the test environment does not have the installation address. ",Other reasons (void/other)
Misoperation in the province leads to repeated links. ,Other reasons (void/other)
Misoperation in the province leads to repeated links. ,Other reasons (void/other)
The receipt has been returned ,Reasons for the group system 
It has stopped. ,Other reasons (void/other)
The receipt has been returned ,Reasons for the group system 
Mandatory order ,Other reasons (void/other)
"At present, the provincial resources in this link have been returned and arranged. ",Reasons for the provincial system 
The order has not been received ,Reasons for the provincial system 
The provincial resources of this link have been returned and stopped. ,Reasons for the provincial system 
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The interface has been re-adjusted and circulated. ,Reasons for the group system 
It has stopped. ,Other reasons (void/other)
It has stopped. ,Other reasons (void/other)
Provincial resource process problems ,Reasons for the provincial system 
"Accept the problem, the test environment does not have the installation address. ",Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
It has stopped. ,Other reasons (void/other)
The single-end circuit does not exist. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
Test list,Reasons for the provincial system 
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The interface has been re-adjusted and circulated. ,Reasons for the group system 
The test environment uses the resource data configured in the province. The group system cannot pass the audit. ,Reasons for the group system 
The model data has been added to the group's resources. The list has not been completed and has been archived after completion. ,Reasons for the group system 
It has stopped. ,Other reasons (void/other)
The test environment uses the resource data configured in the province. The group system cannot pass the audit. ,Other reasons (void/other)
"The shutdown scenario test has been completed, and the order has been scrapped. ",Other reasons (void/other)
The receipt has been returned ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
Test waste order ,Other reasons (void/other)
Program issues ,Reasons for the group system 
It has stopped. ,Other reasons (void/other)
Due to repeated dispatches in the province ,Reasons for the provincial system 
"The release card is stuck, and the call has been returned. ",Reasons for the group system 
The test list is invalid. ,Other reasons (void/other)
Resource data in preparation for testing ,Other reasons (void/other)
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
It has stopped. ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
Test list,Reasons for the provincial system 
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
Test list,Reasons for the provincial system 
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
3A circuit provincial resource allocation link and opposite-end circuit repeat ,Reasons for the provincial system 
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The receipt has been returned ,Reasons for the group system 
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api ,Other reasons (void/other)
The list has been returned. ,Reasons for the group system 
Provincial resource logic ,Reasons for the provincial system 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api ,Other reasons (void/other)
It has stopped. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
"Test environmental data problems, unable to allocate data ",Other reasons (void/other)
"Because the group CRM did not support the scene where the patch was stopped at that time, the waste order has been stopped.",Other reasons (void/other)
Test environment manual order ,Other reasons (void/other)
"The shutdown scenario test has been completed, and the order has been scrapped. ",Other reasons (void/other)
Test environment manual order ,Other reasons (void/other)
Resource data in preparation for testing ,Other reasons (void/other)
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
"There is no abnormality, and the list has been archived. ",Other reasons (void/other)
"The shutdown scenario test has been completed, and the order has been scrapped. ",Other reasons (void/other)
"The shutdown scenario test has been completed, and the order has been scrapped. ",Other reasons (void/other)
"There is no abnormality, and the list has been archived. ",Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
"The shutdown scenario test has been completed, and the order has been scrapped. ",Other reasons (void/other)
"Provincial resource callback relay production has not been completed, and does not meet the test conditions Kunming/Xiyuan-Xiyuan/ ",Reasons for the provincial system 
"At present, there is no abnormality, and the order for the suspension link has passed. ",Other reasons (void/other)
Parameter error: single-end circuit does not exist ,To be determined (other reasons) (write notes) 
Parameter error: single-end circuit does not exist ,To be determined (other reasons) (write notes) 
The receipt has been returned ,Reasons for the group system 
"Test environmental data problems, unable to allocate data ",Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
Test system data problems ,Reasons for the provincial system 
Test system data problems ,Reasons for the provincial system 
Test system data problems ,Reasons for the provincial system 
Test system data problems ,Reasons for the provincial system 
Test waste order ,Other reasons (void/other)
Mandatory order ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The bandwidth of the single-ended circuit of the VPN circuit exceeds the limit. ,Other reasons (void/other)
Waiting for provincial resource rollback ,Reasons for the provincial system 
Program issues ,Reasons for the design center plan 
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
"The shutdown scenario test has been completed, and the order has been scrapped. ",Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
"The shutdown scenario test has been completed, and the order has been scrapped. ",Other reasons (void/other)
"The shutdown scenario test has been completed, and the order has been scrapped. ",Other reasons (void/other)
"Dependency problem, provincial arrangement dependency abnormality ",Collaborative dependence 
"Test environmental data problems, unable to allocate data ",Other reasons (void/other)
"Dependency problem, provincial arrangement dependency abnormality ",Collaborative dependence 
The test list is invalid. ,Other reasons (void/other)
The VPN circuit does not exist. ,Reasons for the group system 
"At present, the relay of the non-standard service provincial resource allocation is currently a new plane relay, and no link role field is returned. ",Reasons for the provincial system 
The test list is invalid. ,Other reasons (void/other)
"Provincial resource callback relay production has not been completed online, and does not meet the test conditions Kunming/Xiyuan-Xiyuan ",Reasons for the provincial system 
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
"Accept the problem, the test environment does not have the installation address. ",Other reasons (void/other)
"Accept the problem, the test environment does not have the installation address. ",Other reasons (void/other)
Test environment manual order ,Other reasons (void/other)
OTMS is not eligible. ,Other reasons (void/other)
OTMS is not eligible. ,Other reasons (void/other)
OTMS is not eligible. ,Other reasons (void/other)
Feedback errors in the province ,Reasons for the provincial system 
The return time of provincial resources is that the order has been passed at present. ,Reasons for the provincial system 
Waiting for the reply of provincial resource allocation ,Reasons for the provincial system 
The test list is invalid. ,Other reasons (void/other)
The test list is invalid. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
This business is a test shutdown scenario. The cancellation has been completed and does not belong to the card list.,Other reasons (void/other)
This business is a test shutdown scenario. The cancellation has been completed and does not belong to the card list.,Other reasons (void/other)
The MTU change value of the research institute's arrangement package has not been added. ,Reasons for the group system 
The MTU change value of the research institute's arrangement package has not been added. ,Reasons for the group system 
Normal test transfer ,Other reasons (void/other)
Normal test transfer ,Other reasons (void/other)
OTMS is not eligible. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
Waiting for the reply of provincial resource allocation ,Reasons for the provincial system 
The abnormal flow of processes in the province has been solved. ,Reasons for the provincial system 
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
This business is a test shutdown scenario. The cancellation has been completed and does not belong to the card list.,Other reasons (void/other)
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Normal test transfer ,Other reasons (void/other)
The test stopped. ,Other reasons (void/other)
The test stopped. ,Other reasons (void/other)
The MTU change value of the research institute's arrangement package has not been added. ,Reasons for the group system 
The MTU change value of the research institute's arrangement package has not been added. ,Reasons for the group system 
"Provincial resources reply that the address has no resources configured, and now it needs to be stopped. ",Collaborative dependence 
Resource data in preparation for testing ,Other reasons (void/other)
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Resource data in preparation for testing ,Other reasons (void/other)
Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api ,Collaborative dependence 
"The provincial resources have not been returned, and the order has been suspended at present. ",Reasons for the provincial system 
: IPRAN PW access RFS_install_api no receipt ,Reasons for the provincial system 
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
"Provincial resource callback message error, the circuit information cannot be found according to the circuit code. ",Reasons for the provincial system 
"MTU test arrangement package error, checking the reason ",Reasons for the provincial system 
The circuit information cannot be found according to the circuit code. ,Reasons for the provincial system 
The normal return exceeds the timeout of the business party's configuration. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test order has been stopped and has been withdrawn. ,Reasons for the provincial system 
The test order has been stopped and has been withdrawn. ,Reasons for the provincial system 
The test order has been stopped and has been withdrawn. ,Reasons for the provincial system 
The test order has been stopped and has been withdrawn. ,Reasons for the provincial system 
: IPRAN PW access to RFS_change_api no return order ,Reasons for the provincial system 
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The list has been stopped and there is no abnormality. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
The test environment controller can't be verified. It's better to find a group arrangement. ,Other reasons (void/other)
OTMS is not eligible. ,Other reasons (void/other)
"After the function test of the provincial arrangement version, the provincial arrangement has been solved. ",Reasons for the provincial system 
It has stopped. ,Other reasons (void/other)
It has stopped. ,Other reasons (void/other)
"The provincial resource interface reports errors synchronously, and wait for the provincial resource reply after re-adjustment. ",Reasons for the provincial system 
: IPRAN PW access to RFS_change_api no return order ,Reasons for the provincial system 
The relay of the provincial resource callback configuration of the new service circuit is the old plane relay. ,Reasons for the provincial system 
The group looked at the provincial Zhongying's unreturned order. ,Reasons for the provincial system 
"The order has been returned in the province. At present, the group's arrangement has not generated a follow-up link. ",Reasons for the provincial system 
The abnormal flow of processes in the province has been solved. ,Reasons for the provincial system 
The abnormal flow of processes in the province has been solved. ,Reasons for the provincial system 
Parameter error: single-terminal circuit does not exist ,Other reasons (void/other)
Parameter error: single-terminal circuit does not exist ,Other reasons (void/other)
The abnormal flow of processes in the province has been solved. ,Other reasons (void/other)
"After the function test of the provincial arrangement version, the provincial arrangement has been solved. ",Reasons for the provincial system 
The feedback parameter value of Ethernet link resource configuration is incorrect. ,Other reasons (void/other)
"At that time, the environment in the province was restarted. The group was successfully rearranged. The order has been cancelled. ",Reasons for the provincial system 
